"CPU_time";"path_cost";"tree_size";
"1.7075";"1089873.4344";"234457";
"2.0638";"1048799.1520";"248094";
"2.1807";"1004281.7298";"248841";
"2.2962";"962304.0417";"250798";
"2.4236";"959914.8604";"261173";
"2.6531";"884249.1079";"266527";
"2.7673";"859275.3905";"267436";
"3.6135";"807136.3646";"306175";
"3.8387";"775088.3312";"310597";
"4.1570";"761337.3094";"319794";
"4.9333";"750610.9554";"367828";
"6.1820";"750159.2626";"417314";
"6.3942";"707648.5340";"421165";
"6.4964";"627666.3491";"422231";
"7.2913";"626470.4085";"453340";
"7.5043";"621964.7397";"461652";
"7.8204";"607837.2849";"466585";
"7.9382";"586524.8206";"473915";
"10.8298";"583047.8763";"617924";
"11.5025";"556071.9137";"650487";
"13.9495";"548497.7510";"771422";
"14.2840";"517426.0180";"791536";
"18.6443";"506643.6792";"966486";
"19.2930";"501061.8216";"981173";
"21.8310";"496565.3965";"1089451";
"23.1381";"491128.5910";"1123262";
"26.1967";"480361.8826";"1223538";
"28.2727";"474882.1803";"1328407";
"28.8908";"459611.6169";"1343755";
"29.5948";"435688.8785";"1374084";
"33.3315";"430139.5646";"1451668";
"34.2795";"416724.5392";"1499283";
"38.8242";"395150.0488";"1732196";
"40.7667";"384725.7269";"1796110";
"40.8848";"384725.7269";"1798363";
"41.3394";"379147.2117";"1815082";
"41.4624";"373857.6453";"1816467";
"41.5867";"371461.7336";"1818452";
"42.2331";"362640.2471";"1847157";
"42.7057";"362325.7839";"1853464";
"43.2154";"352217.0787";"1869967";
"43.4688";"352217.0787";"1878312";
"43.5860";"345211.4620";"1879220";
"45.6976";"334521.0354";"1934747";
"48.0345";"328279.4487";"1988104";
"55.3458";"322255.0296";"2107759";
"55.7282";"322171.5963";"2121649";
"57.0205";"321791.4804";"2161774";
"63.2434";"320799.2166";"2380465";
"66.0660";"320595.4434";"2454682";
"68.0487";"315691.4159";"2479507";
"69.3374";"311213.8769";"2533035";
"70.8228";"311132.0906";"2605330";
"72.5157";"309667.3482";"2646941";
"106.6580";"305834.8526";"2852297";
"108.1263";"303556.9047";"2865090";
"121.2695";"302103.8907";"2960736";
"129.2752";"301315.8188";"3136637";
"129.3833";"296528.2358";"3140201";
"130.1693";"295320.0044";"3192135";
"139.2786";"295264.1175";"3420767";
"139.3275";"292995.9583";"3421581";
"139.3417";"292148.5606";"3421646";
"141.3471";"291293.6966";"3482070";
"141.3609";"291205.0313";"3482149";
"141.4019";"290357.6336";"3485651";
"161.7436";"290174.6017";"3671969";
"161.7983";"290139.5483";"3674703";
"161.9463";"288765.5863";"3687562";
"162.1317";"281990.2662";"3699956";
"165.0564";"274906.2262";"3830844";
"167.9548";"273138.0596";"3918578";
"227.1806";"269328.5426";"4577907";
"236.1665";"268936.4735";"4662283";
"241.2982";"268905.3274";"4733176";
"243.6947";"268783.6710";"4780448";
"243.9426";"268746.5883";"4788167";
"244.0905";"268700.9454";"4788445";
"244.2433";"268555.5447";"4788759";
"264.0797";"268425.4659";"4873947";
"264.4908";"268268.7107";"4877500";
"267.2905";"268172.1008";"4907000";
"281.6574";"266793.2126";"5170234";
"283.1241";"266637.1504";"5184052";
"283.3643";"265950.3870";"5184526";
"285.1382";"265499.2015";"5209165";
"285.5976";"265436.4157";"5210519";
"285.6195";"264906.7263";"5210777";
"299.8434";"264618.3158";"5274717";
"302.6729";"264286.2586";"5336669";
"303.0095";"263441.1556";"5337816";
"304.9425";"263171.9581";"5400108";
"306.0616";"262832.0499";"5411425";
"306.8507";"262469.8732";"5432253";
"306.9264";"262264.4134";"5432823";
"307.5419";"262225.1192";"5452557";
"326.3768";"260316.4699";"6342110";
"370.3058";"258959.2324";"7297877";
"370.7639";"258896.7370";"7355492";
"373.1103";"258864.5719";"7543809";
"373.3351";"258609.6151";"7555781";
"375.9142";"257859.4729";"7596848";
"377.0550";"257602.1789";"7847982";
"377.0971";"257599.2935";"7851597";
"379.8327";"257458.9765";"7969132";
"380.2048";"257456.8794";"8027859";
"380.2322";"257329.6895";"8029958";
"380.4981";"257260.7660";"8050350";
"383.2406";"257247.6925";"8634339";
"383.2554";"257181.1194";"8634339";
"383.6504";"253248.8772";"8664970";
"384.6297";"253232.5587";"8778096";
"384.7362";"253232.3179";"8804648";
"384.8617";"253175.6954";"8817342";
"385.6869";"253072.0149";"8837920";
"390.4947";"252600.0541";"9013999";
